mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_109095,CCC1=CC=CCCC1,3.03486,1.07556,0.86799,0.6913,97.97,-0.2028,-0.0147,0.188,1437.9297,0.207597,-351.182105,-351.172934,-351.17199,-351.216386,35.192
gdb_126739,CCn1ccc(n1)OC,3.12802,1.1133,0.873,1.9682,79.8,-0.2077,0.0319,0.2396,1364.404,0.159883,-419.227054,-419.217941,-419.216997,-419.261636,32.83
gdb_61921,CC(NCC#N)C1CN1,3.23759,0.78411,0.66376,4.9958,80.82,-0.2486,0.0209,0.2695,1669.6409,0.170769,-399.297998,-399.288094,-399.28715,-399.333993,35.251
gdb_17599,CC(=O)C(=O)N1CC1,3.92086,1.63625,1.19988,1.3069,64.0,-0.2403,-0.0671,0.1732,978.7413,0.116682,-399.810511,-399.802101,-399.801156,-399.844284,28.769
gdb_94340,OC1CCC11CC1C#C,2.61019,1.28615,1.07855,2.0761,82.73,-0.236,0.0475,0.2835,1195.5554,0.157575,-385.829753,-385.820728,-385.819784,-385.863532,34.636
gdb_75356,CC1=CCC2OC=NC12,2.75637,1.76692,1.21934,1.486,77.01,-0.2394,0.0146,0.254,1032.4114,0.150008,-401.987732,-401.98027,-401.979326,-402.019789,28.797
gdb_17788,COCC1C2CC1O2,6.02214,1.08467,1.06772,2.7137,69.01,-0.236,0.0807,0.3166,1163.0813,0.153097,-384.847433,-384.839663,-384.838719,-384.88035,28.376
gdb_62789,CC1(C)C2N1CC2(C)O,2.9332,1.29497,1.15407,1.7115,82.79,-0.2259,0.064,0.2899,1201.6836,0.192013,-404.311983,-404.302329,-404.301385,-404.345301,37.954
gdb_17906,O=C1C2CCC1OC2,2.90133,2.35547,2.17061,2.5603,63.17,-0.2286,-0.0221,0.2065,743.0305,0.133041,-383.757604,-383.751301,-383.750357,-383.788012,24.627
gdb_30946,CCC1=C(N)OC(=N)O1,2.34772,1.41141,0.93341,4.0292,73.36,-0.2109,0.0249,0.2358,1252.7184,0.135746,-455.171542,-455.162631,-455.161687,-455.205428,32.671
gdb_42195,O=C(C#C)C12CCC1O2,3.03531,1.3608,1.02712,4.1762,74.16,-0.2658,-0.0705,0.1953,1125.5291,0.110187,-420.558782,-420.550587,-420.549643,-420.592254,30.118
gdb_44251,N=C1OCC2C1OC2=O,3.40086,1.4893,1.20626,4.039,62.92,-0.2791,-0.0171,0.262,984.6817,0.1028,-473.856963,-473.850072,-473.849128,-473.888808,25.591
gdb_71766,CC12CC3C4CC1N2C34,3.1428,1.83646,1.59242,1.5642,80.33,-0.2275,0.09,0.3175,934.6939,0.174238,-366.011475,-366.004641,-366.003697,-366.04215,29.054
gdb_30807,CCc1c(cc([nH]1)C)C,2.31455,1.24903,0.86985,1.6847,92.59,-0.1816,0.0504,0.232,1430.7238,0.193518,-367.273431,-367.263003,-367.262059,-367.309363,37.666
gdb_38086,C1C2C=CC3C=CC1C23,2.59027,2.31341,1.54912,0.136,83.04,-0.2253,0.0072,0.2324,901.7616,0.163633,-348.765126,-348.758876,-348.757932,-348.795376,27.056
gdb_130406,[NH3+]CC1=C([O-])C(O)=NO1,3.05005,0.94772,0.72581,1.4579,70.19,-0.249,-0.1039,0.1451,1497.2862,0.107635,-491.051692,-491.041078,-491.040133,-491.088744,35.75
gdb_77220,CC1C(NC1C#N)C=O,3.20652,1.11054,0.90934,4.1611,73.79,-0.2589,-0.0466,0.2123,1257.2117,0.135278,-418.007185,-417.998262,-417.997318,-418.041375,31.757
gdb_131145,c1nc(on1)C2(CC2)O,3.78814,1.33867,1.07684,0.9588,67.94,-0.2556,-0.0301,0.2256,1076.2315,0.112632,-453.928634,-453.920956,-453.920012,-453.961205,28.474
gdb_2807,OCC1OCC1O,4.36438,2.14307,1.61533,3.698,52.99,-0.2467,0.0505,0.2972,761.6842,0.124523,-382.754967,-382.747549,-382.746605,-382.786836,26.192
gdb_64297,CC1(CCC=C1C#N)C,2.26563,1.50589,1.13847,4.3954,86.87,-0.2584,-0.0382,0.2202,1162.8087,0.170961,-366.059185,-366.050073,-366.049129,-366.092714,34.559
gdb_40990,C1CC23C1C1C2CCN31,3.71956,1.55888,1.49399,1.538,83.91,-0.2265,0.0744,0.3009,977.7628,0.173474,-365.885656,-365.879035,-365.878091,-365.916158,28.63
gdb_131664,c1c([nH]nc1C=O)CO,5.10459,0.86982,0.75481,6.7659,72.01,-0.2444,-0.044,0.2003,1416.1464,0.113079,-453.963012,-453.954565,-453.953621,-453.997425,29.469
gdb_46509,C1CC2(CC2)NCC1=O,3.5694,1.20846,1.03908,2.5326,79.26,-0.2141,-0.0149,0.1992,1190.7349,0.172727,-403.158926,-403.150823,-403.149879,-403.191597,32.082
gdb_23042,CC(=NO)C1C(O)C1O,2.40795,1.21938,1.14474,2.519,72.7,-0.2268,-0.0154,0.2114,1183.6547,0.144436,-476.158437,-476.1487,-476.147755,-476.193116,35.932
gdb_77146,NC(=O)C1NC(=N)C1O,2.61229,1.42955,1.10073,1.1619,66.5,-0.2469,0.0055,0.2525,1095.8212,0.125047,-471.222968,-471.214377,-471.213433,-471.256589,32.049
gdb_47240,C1C=CC=CCNC1=O,2.32524,1.63555,1.16215,3.3012,81.04,-0.2263,-0.0358,0.1905,1091.6772,0.150384,-401.981192,-401.973323,-401.972379,-402.013796,30.425
gdb_101852,OCC(O)COC1CC1,3.98689,0.68311,0.61315,3.0735,76.14,-0.2546,0.0586,0.3132,1825.8052,0.180499,-461.324701,-461.314551,-461.313607,-461.36103,36.801
gdb_24488,c1c2c(ncn1)CC=C2,3.97096,1.64591,1.17197,2.928,80.1,-0.2387,-0.0408,0.1979,979.7228,0.116838,-379.744797,-379.738675,-379.737731,-379.775146,24.687
gdb_24411,c1coc2c1N=COC2,3.8273,1.64582,1.15925,1.4377,68.91,-0.2076,-0.0147,0.193,966.7307,0.103952,-436.714866,-436.708349,-436.707405,-436.746405,24.653
gdb_6761,COCC#CC(C)O,6.55926,0.66665,0.63014,2.6331,75.16,-0.2519,0.0312,0.2831,1794.8172,0.1504,-384.892061,-384.881897,-384.880953,-384.928702,34.196
gdb_10667,CC(=O)C1(CO1)C#N,2.9685,1.99844,1.35037,5.0205,59.27,-0.2773,-0.0528,0.2244,882.32,0.092682,-398.598165,-398.590115,-398.589171,-398.631128,27.742
gdb_114224,COC1CC2(CO2)C=C1,4.74831,0.94361,0.8597,2.7346,79.49,-0.2489,0.0025,0.2514,1377.7112,0.158452,-423.002996,-422.994388,-422.993444,-423.036829,32.102
gdb_114664,COC1CC2CC1C2C,3.13325,1.174,1.0561,0.8829,86.1,-0.2434,0.0954,0.3388,1284.9772,0.207052,-388.274493,-388.265746,-388.264802,-388.307608,34.369
gdb_131059,c1nc(on1)CNC=O,6.76843,0.80299,0.72113,2.8971,64.34,-0.2635,-0.0406,0.2229,1439.8525,0.101683,-470.02734,-470.019314,-470.018369,-470.062864,27.088
gdb_108008,COC12CC3C4C(C14)C23,3.60265,1.55938,1.3908,0.9913,77.8,-0.2256,0.092,0.3176,991.1022,0.159893,-385.803653,-385.796438,-385.795494,-385.835223,29.354
gdb_110567,COC1C2C3CC2(C)C13,3.55059,1.18678,1.04431,1.1729,84.0,-0.2425,0.0944,0.3369,1246.1114,0.181668,-387.010517,-387.001911,-387.000967,-387.043697,33.107
gdb_116488,OCC1CCOCC=C1,3.16038,1.05894,0.83708,1.5351,81.62,-0.2384,0.022,0.2605,1389.6677,0.183435,-424.216875,-424.20782,-424.206876,-424.251098,34.004
gdb_83170,CC1C2COC(=O)NC12,2.67789,1.4869,1.37178,4.9774,71.84,-0.2393,0.0502,0.2895,1030.0285,0.149578,-439.11887,-439.110746,-439.109802,-439.151714,30.613
gdb_16400,N=C1OCC2CC1O2,3.70714,2.29682,1.81037,3.3983,62.01,-0.2544,0.0136,0.268,748.6321,0.121446,-399.787831,-399.781731,-399.780786,-399.818006,23.906
gdb_82722,CC1C2CC3C2C3C1=O,2.62084,1.84438,1.35564,3.257,78.2,-0.2298,-0.0077,0.2221,994.9574,0.160911,-385.897538,-385.890147,-385.889203,-385.929141,29.833
gdb_125630,CC1=N[N-]C(=N1)[NH+]=CN,7.0342,0.81867,0.73667,11.1783,88.47,-0.1831,-0.0566,0.1265,1495.2645,0.125256,-430.248132,-430.239018,-430.238074,-430.282604,31.637
gdb_127410,CN1CCc2c1c[nH]n2,3.05996,1.63837,1.10269,2.0213,79.3,-0.1815,0.0275,0.209,1081.1793,0.151023,-398.138528,-398.130847,-398.129903,-398.170462,29.711
gdb_97544,CC(O)(C=O)C#CCO,2.76835,0.76431,0.71905,1.7982,75.28,-0.2526,-0.0396,0.2129,1634.047,0.130793,-458.927278,-458.916305,-458.915361,-458.964999,37.138
gdb_117575,COCC(C#N)C1CC1,2.35826,1.01963,0.75204,4.6157,80.56,-0.2684,0.0379,0.3063,1541.2804,0.169653,-403.137044,-403.127051,-403.126107,-403.172967,35.077
gdb_92144,CC12C3CC1CC(O)C23,2.47358,1.58264,1.3459,1.1359,81.61,-0.2408,0.0816,0.3224,1076.6079,0.183814,-387.075603,-387.06743,-387.066485,-387.107887,32.834
gdb_74307,CC1=CC(C=O)C(=O)N1,2.36883,1.42778,0.95969,3.8734,72.51,-0.2233,-0.028,0.1953,1200.5332,0.122902,-437.946694,-437.938002,-437.937058,-437.980549,31.258
gdb_67910,CC12OC(=O)C1N1CC21,2.45959,1.98876,1.38401,3.7111,67.88,-0.2571,-0.0127,0.2444,944.068,0.124031,-437.850715,-437.843417,-437.842473,-437.882227,28.58
gdb_43731,O=C1CC2(CCC=C2)N1,4.69868,1.04901,1.00064,4.1336,79.0,-0.2388,0.0066,0.2455,1214.9897,0.148836,-401.988053,-401.980209,-401.979265,-402.020912,30.385
gdb_84632,CC1C=CC2OC1C=C2,2.73009,1.82471,1.5118,1.5735,79.02,-0.2306,-0.002,0.2286,959.6943,0.161409,-385.893524,-385.88634,-385.885396,-385.924663,29.769
